일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),최고 해면기압(hPa),최저 해면기압(hPa),평균 해면기압(hPa),평균 지면온도(°C)
2020-01-01,-2.2,-6.5,0.3,2.6,0.6,37,64.4,1034,1031.2,1032.1,-0.9
2020-01-02,1,-0.7,3.8,4,1.2,54,65.4,1031.3,1028.2,1029.6,0.1
2020-01-03,-0.1,-3.4,4.6,3.5,1.7,26,56.9,1029,1025.8,1027.3,-0.4
2020-01-04,1.2,-2.8,6.1,4.5,1.9,32,50.8,1028.4,1024.4,1026.2,0
2020-01-05,1.3,-3.2,6.6,2.9,1.1,28,45.6,1032.6,1028.1,1030.6,-0.5
2020-01-06,3.1,0.6,4.6,5.4,3.1,39,65.4,1030.3,1020.5,1026,1
2020-01-07,6.3,4.2,7.7,6.3,4,93,95,1020.5,997.8,1009.7,5.1
2020-01-08,2.4,-0.4,8.9,6.3,3.3,73,86.1,1023.3,997.4,1014.3,4
2020-01-09,-1.2,-3.1,2,4.3,2.3,47,65.3,1025.9,1022.8,1024.3,1.3
2020-01-10,-0.6,-4.3,4.2,3.7,1.5,36,62.9,1026.2,1022.1,1023.9,0.2
2020-01-11,-0.1,-2.6,3.9,4.8,1.9,35,60.9,1022.6,1018.5,1020.3,0.1
2020-01-12,-1,-3.5,2.8,4.1,2.4,38,61.5,1020.6,1016.8,1018.4,0.4
2020-01-13,-2.9,-4.7,0.2,4.9,2.3,28,51,1026,1020,1023.4,-1.3
2020-01-14,-2.3,-5.7,2.6,3.3,1.6,20,45.3,1028.1,1024.2,1026,-1.6
2020-01-15,-2.7,-6.4,2.2,4.5,1.9,24,44.8,1030,1027.4,1028.7,-2
2020-01-16,-1.7,-5.5,3.2,4.4,1.6,24,43,1029.3,1025.3,1027.3,-1.6
2020-01-17,-0.6,-4.8,4.9,3.8,1.5,27,43.9,1025.7,1021.6,1023.5,-0.8
2020-01-18,0.3,-4.1,5.9,4.2,1.8,17,48.1,1023.1,1020.2,1021.7,-0.6
2020-01-19,1.9,-0.4,5.3,6.1,2.2,42,62.8,1020.9,1016.6,1018.7,0.5
2020-01-20,0.7,-3.3,5.5,5.7,2.5,24,46.8,1028.5,1020.3,1023,-0.1
2020-01-21,-0.4,-5.6,5.5,3.5,1.4,19,36.9,1032.4,1028.1,1029.8,-0.8
2020-01-22,3,-0.1,7.8,3.2,1.7,22,36,1028.9,1022.9,1025.4,1.3
2020-01-23,4.6,0,9.9,4.7,2,32,49.3,1027.2,1022,1024.2,2.2
2020-01-24,2.8,-1.3,7.4,3.7,1.7,43,63,1031.7,1027.2,1030.3,1.9
2020-01-25,4.3,0.6,8.8,3.9,1.5,49,63.1,1031.1,1027.2,1029.5,2.4
2020-01-26,5.5,-0.2,11.9,6.1,2.7,31,56.3,1029.5,1024.6,1027.2,3.5
2020-01-27,5.9,4.8,7.5,7,4.6,35,48.1,1025.8,1018.3,1021,3.6
2020-01-28,6.8,4.3,9.9,5.4,2.6,37,49.4,1019.6,1016.9,1018.2,4.6
2020-01-29,6,3.2,9.6,3.6,2.1,35,46.4,1018.8,1013.8,1015.8,3.7
2020-01-30,5.2,1.4,10.4,3,1.8,30,47,1016.9,1013.3,1014.9,3
2020-01-31,3.9,1.4,8.9,4.4,2.3,41,59.6,1022.6,1016.8,1019.7,2.8
2020-02-01,2.6,-1.2,7.6,4.7,1.7,43,66.6,1025.4,1022.2,1024.1,2.3
2020-02-02,1.5,-2.1,5.3,4.7,1.8,24,52.3,1027.4,1023.9,1025.6,1.9
2020-02-03,-0.4,-2.9,3,5.7,3.1,23,43.6,1029.4,1024.8,1027.3,2.3
2020-02-04,-1.6,-6,3.9,6.2,2.8,32,50.3,1029.2,1023.3,1026.7,0.3
2020-02-05,-8.3,-11,-4.9,5.5,3.3,27,37.3,1035,1027.8,1032.4,-2.5
2020-02-06,-6.4,-11.8,0.4,4,1.9,19,36.4,1036.7,1032.2,1034.2,-2.7
2020-02-07,-1.7,-7.2,2.2,3.5,2,14,45.1,1032.4,1026.9,1029.5,-0.4
2020-02-08,-0.1,-2.3,3.7,5.3,3,29,48.1,1028.9,1025.8,1027.5,1.4
2020-02-09,-0.5,-5.6,4.1,4.4,2,24,51.1,1029,1022.5,1025.5,0.5
2020-02-10,4,-0.7,9.6,4.2,1.7,25,49.4,1027.5,1021.6,1024.1,3.4
2020-02-11,6.8,-0.5,14.6,3.6,1.6,17,37,1029.1,1024.6,1026.9,0.6
2020-02-12,7.4,6.5,8.2,5,2.2,31,73.4,1024.7,1012.3,1016.9,5.8
2020-02-13,6.5,4.9,8.7,3.2,1.7,69,84.8,1021.5,1014.7,1019.3,6.6
2020-02-14,8.1,3.2,14.7,3,1.2,41,70.3,1022.8,1018.7,1020.8,6.9
2020-02-15,9.8,6.2,15.6,5,2.7,37,63,1022.9,1011.9,1017.6,6.6
2020-02-16,-1.4,-4.3,7.7,6.6,4,59,81.1,1016.2,1011.4,1013.5,2.2
2020-02-17,-5.9,-7.1,-3.9,5.6,3.4,52,64.3,1023.3,1015.8,1018.4,0.3
2020-02-18,-4.1,-8.3,1.3,4.1,2.3,27,44,1029.9,1023,1027.7,-0.1
2020-02-19,1,-4.4,6.4,3.2,1.5,35,56.8,1031.3,1029,1030.2,1.8
2020-02-20,4.6,-0.6,10.8,3.3,1.7,35,62.6,1035.3,1030.8,1033.4,4
2020-02-21,6.7,2.1,10.9,5.3,2.2,40,66.3,1034.8,1022.1,1029.2,4.4
2020-02-22,4,0,7.9,8.2,4,40,62,1029.9,1021.4,1024.9,4.2
