국가	시점	의약품	데이터
아시아	1998	소화관 및 신진대사	
아시아	1998	제산제	
아시아	1998	소화성궤양 및 위장용 약물	
아시아	1998	당뇨 약물	
아시아	1998	심장 배당체	
아시아	1998	항 부정맥제	
아시아	1998	이뇨제	
아시아	1998	향균제	
아시아	1998	진통제	
아시아	1998	수면제 및 진정제	
아시아	1998	항우울제	
아시아	1999	소화관 및 신진대사	
아시아	1999	제산제	
아시아	1999	소화성궤양 및 위장용 약물	
아시아	1999	당뇨 약물	
아시아	1999	심장 배당체	
아시아	1999	항 부정맥제	
아시아	1999	이뇨제	
아시아	1999	향균제	
아시아	1999	진통제	
아시아	1999	수면제 및 진정제	
아시아	1999	항우울제	
아시아	2000	소화관 및 신진대사	
아시아	2000	제산제	
아시아	2000	소화성궤양 및 위장용 약물	
아시아	2000	당뇨 약물	
아시아	2000	심장 배당체	
아시아	2000	항 부정맥제	
아시아	2000	이뇨제	
아시아	2000	향균제	
아시아	2000	진통제	
아시아	2000	수면제 및 진정제	
아시아	2000	항우울제	
아시아	2001	소화관 및 신진대사	
아시아	2001	제산제	
아시아	2001	소화성궤양 및 위장용 약물	
아시아	2001	당뇨 약물	
아시아	2001	심장 배당체	
아시아	2001	항 부정맥제	
아시아	2001	이뇨제	
아시아	2001	향균제	
아시아	2001	진통제	
아시아	2001	수면제 및 진정제	
아시아	2001	항우울제	
아시아	2002	소화관 및 신진대사	
아시아	2002	제산제	
아시아	2002	소화성궤양 및 위장용 약물	
아시아	2002	당뇨 약물	
아시아	2002	심장 배당체	
아시아	2002	항 부정맥제	
아시아	2002	이뇨제	
아시아	2002	향균제	
아시아	2002	진통제	
아시아	2002	수면제 및 진정제	
아시아	2002	항우울제	
아시아	2003	소화관 및 신진대사	
아시아	2003	제산제	
아시아	2003	소화성궤양 및 위장용 약물	
아시아	2003	당뇨 약물	
아시아	2003	심장 배당체	
아시아	2003	항 부정맥제	
아시아	2003	이뇨제	
아시아	2003	향균제	
아시아	2003	진통제	
아시아	2003	수면제 및 진정제	
아시아	2003	항우울제	
아시아	2004	소화관 및 신진대사	
아시아	2004	제산제	
아시아	2004	소화성궤양 및 위장용 약물	
아시아	2004	당뇨 약물	
아시아	2004	심장 배당체	
아시아	2004	항 부정맥제	
아시아	2004	이뇨제	
아시아	2004	향균제	
아시아	2004	진통제	
아시아	2004	수면제 및 진정제	
아시아	2004	항우울제	
아시아	2005	소화관 및 신진대사	
아시아	2005	제산제	
아시아	2005	소화성궤양 및 위장용 약물	
아시아	2005	당뇨 약물	
아시아	2005	심장 배당체	
아시아	2005	항 부정맥제	
아시아	2005	이뇨제	
아시아	2005	향균제	
아시아	2005	진통제	
아시아	2005	수면제 및 진정제	
아시아	2005	항우울제	
아시아	2006	소화관 및 신진대사	
아시아	2006	제산제	
아시아	2006	소화성궤양 및 위장용 약물	
아시아	2006	당뇨 약물	
아시아	2006	심장 배당체	
아시아	2006	항 부정맥제	
아시아	2006	이뇨제	
아시아	2006	향균제	
아시아	2006	진통제	
아시아	2006	수면제 및 진정제	
아시아	2006	항우울제	
아시아	2007	소화관 및 신진대사	
아시아	2007	제산제	
아시아	2007	소화성궤양 및 위장용 약물	
아시아	2007	당뇨 약물	
아시아	2007	심장 배당체	
아시아	2007	항 부정맥제	
아시아	2007	이뇨제	
아시아	2007	향균제	
아시아	2007	진통제	
아시아	2007	수면제 및 진정제	
아시아	2007	항우울제	
아시아	2008	소화관 및 신진대사	
아시아	2008	제산제	
아시아	2008	소화성궤양 및 위장용 약물	
아시아	2008	당뇨 약물	
아시아	2008	심장 배당체	
아시아	2008	항 부정맥제	
아시아	2008	이뇨제	
아시아	2008	향균제	
아시아	2008	진통제	
아시아	2008	수면제 및 진정제	
아시아	2008	항우울제	
아시아	2009	소화관 및 신진대사	
아시아	2009	제산제	
아시아	2009	소화성궤양 및 위장용 약물	
아시아	2009	당뇨 약물	
아시아	2009	심장 배당체	
아시아	2009	항 부정맥제	
아시아	2009	이뇨제	
아시아	2009	향균제	
아시아	2009	진통제	
아시아	2009	수면제 및 진정제	
아시아	2009	항우울제	
아시아	2010	소화관 및 신진대사	
아시아	2010	제산제	
아시아	2010	소화성궤양 및 위장용 약물	
아시아	2010	당뇨 약물	
아시아	2010	심장 배당체	
아시아	2010	항 부정맥제	
아시아	2010	이뇨제	
아시아	2010	향균제	
아시아	2010	진통제	
아시아	2010	수면제 및 진정제	
아시아	2010	항우울제	
아시아	2011	소화관 및 신진대사	
아시아	2011	제산제	
아시아	2011	소화성궤양 및 위장용 약물	
아시아	2011	당뇨 약물	
아시아	2011	심장 배당체	
아시아	2011	항 부정맥제	
아시아	2011	이뇨제	
아시아	2011	향균제	
아시아	2011	진통제	
아시아	2011	수면제 및 진정제	
아시아	2011	항우울제	
아시아	2012	소화관 및 신진대사	
아시아	2012	제산제	
아시아	2012	소화성궤양 및 위장용 약물	
아시아	2012	당뇨 약물	
아시아	2012	심장 배당체	
아시아	2012	항 부정맥제	
아시아	2012	이뇨제	
아시아	2012	향균제	
아시아	2012	진통제	
아시아	2012	수면제 및 진정제	
아시아	2012	항우울제	
아시아	2013	소화관 및 신진대사	
아시아	2013	제산제	
아시아	2013	소화성궤양 및 위장용 약물	
아시아	2013	당뇨 약물	
아시아	2013	심장 배당체	
아시아	2013	항 부정맥제	
아시아	2013	이뇨제	
아시아	2013	향균제	
아시아	2013	진통제	
아시아	2013	수면제 및 진정제	
아시아	2013	항우울제	
아시아	2014	소화관 및 신진대사	
아시아	2014	제산제	
아시아	2014	소화성궤양 및 위장용 약물	
아시아	2014	당뇨 약물	
아시아	2014	심장 배당체	
아시아	2014	항 부정맥제	
아시아	2014	이뇨제	
아시아	2014	향균제	
아시아	2014	진통제	
아시아	2014	수면제 및 진정제	
아시아	2014	항우울제	
아시아	2015	소화관 및 신진대사	
아시아	2015	제산제	
아시아	2015	소화성궤양 및 위장용 약물	
아시아	2015	당뇨 약물	
아시아	2015	심장 배당체	
아시아	2015	항 부정맥제	
아시아	2015	이뇨제	
아시아	2015	향균제	
아시아	2015	진통제	
아시아	2015	수면제 및 진정제	
아시아	2015	항우울제	
아시아	2016	소화관 및 신진대사	
아시아	2016	제산제	
아시아	2016	소화성궤양 및 위장용 약물	
아시아	2016	당뇨 약물	
아시아	2016	심장 배당체	
아시아	2016	항 부정맥제	
아시아	2016	이뇨제	
아시아	2016	향균제	
아시아	2016	진통제	
아시아	2016	수면제 및 진정제	
아시아	2016	항우울제	
아시아	2017	소화관 및 신진대사	
아시아	2017	제산제	
아시아	2017	소화성궤양 및 위장용 약물	
아시아	2017	당뇨 약물	
아시아	2017	심장 배당체	
아시아	2017	항 부정맥제	
아시아	2017	이뇨제	
아시아	2017	향균제	
아시아	2017	진통제	
아시아	2017	수면제 및 진정제	
아시아	2017	항우울제	
아시아	2018	소화관 및 신진대사	
아시아	2018	제산제	
아시아	2018	소화성궤양 및 위장용 약물	
아시아	2018	당뇨 약물	
아시아	2018	심장 배당체	
아시아	2018	항 부정맥제	
아시아	2018	이뇨제	
아시아	2018	향균제	
